region,votes_D,votes_G,votes_L,votes_R,votes_oth
AK_10_01,122640,2917,7392,164676,2870
AL_10_01,18424,169,607,66016,275
AL_10_02,35553,47,187,24373,108
AL_10_03,42902,46,141,24862,97
AL_10_04,8771,106,371,49788,259
AL_10_05,14507,67,218,36237,157
AL_10_06,15511,92,291,30278,192
AL_10_07,18778,86,232,37003,148
AL_10_08,21863,119,340,44065,240
AL_10_09,31922,71,163,37529,129
AL_10_10,37117,278,902,88273,635
AL_10_11,6338,114,280,37311,240
AL_10_12,22775,80,407,57181,239
AL_10_13,11061,125,350,32770,276
AL_10_14,12803,100,395,29130,196
AL_10_15,159876,438,1637,141683,889
AL_10_16,18508,118,428,44265,288
AL_10_17,21381,98,604,32194,219
AL_10_18,78143,529,1977,142046,917
AL_10_19,78760,251,822,94893,414
AL_10_20,84149,157,682,83720,401
AL_10_21,36503,135,569,50872,314
AL_10_22,20051,171,725,71436,359
AR_10_01,35693,519,765,37212,146
AR_10_02,18583,768,1227,45216,93
AR_10_03,22636,499,1402,54646,74
AR_10_04,16383,228,357,25133,104
AR_10_05,22365,667,860,39823,86
AR_10_06,36053,820,1556,53484,245
AR_10_07,14157,581,1010,37007,156
AR_10_08,13839,537,747,30964,92
AR_10_09,17973,538,1037,44314,91
AR_10_10,18471,233,351,18074,58
AR_10_11,19246,582,1070,44602,74
AR_10_12,8701,371,547,24324,86
AR_10_13,11876,246,340,24847,93
AR_10_14,10080,412,629,26463,103
AR_10_15,87248,1064,1952,68984,133
AR_10_16,12869,422,775,32963,33
AR_10_17,28236,818,1651,39688,67
AZ_10_01,34092,187,753,28134,216
AZ_10_02,28032,280,836,33732,232
AZ_10_03,29257,301,941,21220,243
AZ_10_04,56922,428,2081,85202,535
AZ_10_05,21413,248,1169,52882,351
AZ_10_06,602288,4091,20071,749885,4624
AZ_10_07,201251,1758,4366,174779,1019
AZ_10_08,33918,417,1450,64468,414
AZ_10_09,18059,106,433,23352,123
CA_10_01,469684,7502,5471,108182,4803
CA_10_02,35540,556,1195,48525,1174
CA_10_03,42669,840,1334,44479,1430
CA_10_04,16223,270,486,26184,733
CA_10_05,290824,2879,4372,136517,3634
CA_10_06,20027,375,659,31485,850
CA_10_07,35166,410,1278,50973,947
CA_10_08,129129,1101,2262,124490,1845
CA_10_09,34457,2505,910,18825,773
CA_10_10,25136,112,227,12777,313
CA_10_11,89495,672,2195,126618,2492
CA_10_12,12979,120,251,17671,397
CA_10_13,36356,1262,805,18858,1127
CA_10_14,2216903,20404,31917,885333,26510
CA_10_15,16018,175,342,22852,479
CA_10_16,99896,1558,1333,30880,849
CA_10_17,33005,243,516,27581,712
CA_10_18,94196,835,1505,44733,1293
CA_10_19,35870,455,601,19526,516
CA_10_20,25316,685,849,26042,579
CA_10_21,512440,4792,14132,582332,8968
CA_10_22,66818,683,2307,99921,1593
CA_10_23,329063,2243,6223,318127,6251
CA_10_24,300503,2753,6134,202514,4905
CA_10_25,305109,2227,5883,262358,5940
CA_10_26,626957,5787,14656,536726,8156
CA_10_27,301723,5494,4096,47076,2820
CA_10_28,114121,773,1839,86071,1893
CA_10_29,61258,1085,1776,59967,1552
CA_10_30,206085,1957,2926,72756,1996
CA_10_31,94129,1322,2063,64606,1200
CA_10_32,450818,4391,7889,174843,5150
CA_10_33,90805,1857,1971,24047,1415
CA_10_34,25819,389,926,48067,1134
CA_10_35,96783,641,1445,52092,1483
CA_10_36,153942,2745,2754,54784,2283
CA_10_37,77724,563,1499,73459,2124
CA_10_38,19903,199,604,29397,623
CA_10_39,41752,388,792,56956,1212
CA_10_40,170929,1661,3735,147958,2691
CA_10_41,48715,729,1063,23368,600
CO_10_01,28583,289,1090,28832,460
CO_10_02,83938,491,1822,81552,1893
CO_10_03,908799,4599,22145,689973,10477
CO_10_04,32888,179,909,22859,255
CO_10_05,116152,840,4495,179654,2440
CO_10_06,20750,151,601,25423,337
CO_10_07,92747,651,3157,82376,1249
