region,x,y,z
AK_10_01,-5096.14767299,-2644.83055561,2761.12137134
AL_10_01,129.2925309,-3254.22331754,5475.66936922
AL_10_02,261.318458187,-3373.29214016,5398.35658331
AL_10_03,143.864717073,-3428.9381877,5367.61835902
AL_10_04,220.193973695,-3542.08245541,5291.01195359
AL_10_05,210.060272753,-3322.93976899,5431.72044324
AL_10_06,257.843387018,-3532.57811725,5295.66328549
AL_10_07,238.173141621,-3451.84004782,5349.55276998
AL_10_08,261.09511432,-3511.87049204,5309.25945763
AL_10_09,138.758966709,-3336.12225335,5425.92621217
AL_10_10,141.31716544,-3580.01567307,5268.12663471
AL_10_11,181.105068827,-3571.38198214,5272.76708112
AL_10_12,259.960778892,-3299.86142779,5443.61791007
AL_10_13,257.949961777,-3613.44336664,5240.8138541
AL_10_14,246.546251339,-3558.55723936,5278.78076076
AL_10_15,190.654510883,-3516.5938663,5309.12981919
AL_10_16,182.441904226,-3603.5011416,5250.82236169
AL_10_17,277.946246305,-3421.84376639,5366.87731577
AL_10_18,214.721258263,-3617.10006519,5240.24072917
AL_10_19,101.898787223,-3260.6457547,5472.42605245
AL_10_20,213.864964111,-3403.7234742,5381.31668723
AL_10_21,137.5378439,-3494.47107174,5325.35409811
AL_10_22,203.56068445,-3489.29036849,5326.63653463
AR_10_01,-107.899039259,-3544.32113569,5292.9940945
AR_10_02,-201.732424799,-3750.92802848,5145.82199012
AR_10_03,-279.687700709,-3764.60565356,5132.16913822
AR_10_04,-169.304846841,-3509.29291032,5314.6815651
AR_10_05,-203.710561346,-3590.72690196,5258.78534671
AR_10_06,-35.9016489704,-3739.09492555,5158.24788172
AR_10_07,-125.532857441,-3733.21024458,5161.10683589
AR_10_08,-201.323999178,-3671.62532867,5202.71824081
AR_10_09,-273.808067667,-3681.17759237,5192.64881111
AR_10_10,-52.551344792,-3652.12408216,5220.04492746
AR_10_11,-132.885391699,-3645.96028702,5222.92600543
AR_10_12,-254.329164226,-3620.14393087,5236.364731
AR_10_13,-228.500100108,-3522.63001478,5303.631443
AR_10_14,-95.1060711549,-3673.18054164,5204.64605365
AR_10_15,-146.357394932,-3630.77296551,5233.13559789
AR_10_16,-168.69685697,-3618.27067602,5241.11626331
AR_10_17,-274.786440119,-3733.05696239,5155.42618295
AZ_10_01,-1254.74421595,-3470.56910848,5193.30415206
