region,votes_R,votes_oth,votes_D
AK_10_01,129786,22947,92013
AL_10_01,69431,2750,17463
AL_10_02,24855,914,30231
AL_10_03,24735,562,37647
AL_10_04,54387,1234,7700
AL_10_05,38449,867,11952
AL_10_06,32803,1376,13197
AL_10_07,39214,823,15723
AL_10_08,48070,1045,17840
AL_10_09,38445,694,27593
AL_10_10,101924,3071,27681
AL_10_11,41959,973,4601
AL_10_12,59955,1605,18763
AL_10_13,38422,1104,7345
AL_10_14,32132,992,10350
AL_10_15,130614,7916,151581
AL_10_16,48124,1663,14827
AL_10_17,34321,2360,20987
AL_10_18,147240,9910,76688
AL_10_19,91087,3871,68429
AL_10_20,81408,3511,77895
AL_10_21,53155,2329,35718
AL_10_22,72846,3435,22927
AR_10_01,38230,2933,31708
AR_10_02,49477,3489,14686
AR_10_03,60751,7911,27894
AR_10_04,24065,1289,14928
AR_10_05,41177,3681,19761
AR_10_06,59788,5000,32206
AR_10_07,41759,2701,11365
AR_10_08,34189,2872,12401
AR_10_09,45424,4438,16660
AR_10_10,15993,1133,15229
AR_10_11,49072,4968,20163
AR_10_12,26191,1746,7230
AR_10_13,26189,1369,10909
AR_10_14,28147,2286,8669
AR_10_15,61182,8927,89377
AR_10_16,35852,3479,13247
AR_10_17,40418,6829,32296
AZ_10_01,23382,3000,27253
AZ_10_02,27592,3217,23060
AZ_10_03,16573,3048,25308
AZ_10_04,66014,5106,40127
AZ_10_05,54693,3035,16854
AZ_10_06,540943,55561,500424
AZ_10_07,137992,16237,182028
AZ_10_08,58573,4171,29492
AZ_10_09,20586,1837,18336
CA_10_01,59384,20448,300185
CA_10_02,36654,3975,24656
CA_10_03,35354,5307,31638
CA_10_04,18991,1805,10211
CA_10_05,76743,15182,201936
CA_10_06,25473,2642,13885
CA_10_07,37286,4540,28026
CA_10_08,79858,7933,82863
CA_10_09,10883,3157,19596
CA_10_10,5607,920,14331
CA_10_11,95064,8690,64980
CA_10_12,13158,1262,9077
CA_10_13,9323,2012,13145
CA_10_14,525308,113633,1601382
CA_10_15,19221,1759,13283
CA_10_16,13127,4036,64333
CA_10_17,18486,2181,21856
CA_10_18,23938,4543,54138
CA_10_19,9335,1745,20454
CA_10_20,15716,2517,16781
CA_10_21,356892,42589,395801
CA_10_22,55212,6030,43915
CA_10_23,219359,21355,228731
CA_10_24,114359,18927,186237
CA_10_25,188080,21178,220853
CA_10_26,269422,36743,390531
CA_10_27,26461,12912,228211
CA_10_28,56194,6533,71349
CA_10_29,39263,5786,46965
CA_10_30,37996,9155,152134
CA_10_31,38973,6827,72605
CA_10_32,91990,22510,312994
CA_10_33,14523,5221,60529
CA_10_34,35256,2938,15533
CA_10_35,38945,6555,73858
CA_10_36,37421,10612,116027
CA_10_37,52567,5844,51171
CA_10_38,19816,2016,12714
CA_10_39,33372,2782,23663
CA_10_40,97516,14143,136848
CA_10_41,13178,2985,34460
CO_10_01,29089,5611,27280
CO_10_02,81224,11620,60753
CO_10_03,589438,118153,761715
CO_10_04,20834,4717,32883
CO_10_05,186086,32036,109354
CO_10_06,24490,3365,18832
CO_10_07,73080,15556,82143
CO_10_08,71529,8054,33424
CT_10_01,128534,13361,184261
CT_10_02,146004,17264,229719
CT_10_03,53444,4218,39770
CT_10_04,38423,4216,44584
CT_10_05,157067,13632,201578
CT_10_06,54721,7023,62904
CT_10_07,33983,4630,38767
CT_10_08,25732,3192,21767
DC_10_01,11553,8496,260223
DE_10_01,36989,3917,33347
DE_10_02,85507,13056,162905
DE_10_03,62607,3878,39329
FL_10_01,46584,5873,75370
